Question	Answer
I like country and western bands .	Not my favourite, but I'll listen to them.
My family has been to the local zoo yet .	We don't like seeing animals in cages.
I want to grab something to eat .	I won't be ready for a couple of hours.
I like being out on the water .	When I am with someone who is experienced.
I am a fan of movies .	I love going to the cinema at the weekends.
I like whodunnits .	Only if they are well written.
I have been thinking about buying a flat in New York , for a long time .	I've dreamed of it for years.
I like to eat out .	I eat out as often as I can.
I work nearby .	work is only 10 minutes away
I have done a book club before .	I was in one a few years back
I have pets .	We have two cats and a dog.
I have learned how to play an instrument .	Not since I was young
I am making more than 80 thousand dollars a year .	In New York, you need to.
My background does match up well with the new job .	I think so.
I am new to this city .	I know the city very well.
I want to leave the job .	Only if the right opportunity comes along.
I like food served at fast food restaurants .	now and again i do
I would like to go to the movies .	I like to see comedies.
We can buy a rock CD to listen to .	What band do you have in mind?
I am buying to rent .	I'm renting to buy.
I like spicy foods .	My tongue burns with spicy food.
I want to go out to dinner .	That would be nice
I like Mexican .	I could eat 100 tacos.
I am happy at work .	most of the time I am
I have gone down to the river .	I have never been there
I like hip/hop music .	It has great beats.
I know what happened to Jimmy after he moved away .	I don't have a clue
I have been downtown yet .	Just very briefly
I have gotten a job .	I've applied to a few different places.
I have a favorite music station .	I listen to Internet radio these days.
I like outside concerts .	Outdoor shows are the best!
It is like .	It is right in the centre of everything entertaining.
I work at an office .	My job takes me all over the country
I have read of the classics .	I have only read a few
I can deal with the commute .	That depends on how the job pans out.
I feel like Chinese .	Lo mein sounds good.
I am a fan of meat .	Steak is my favorite.
I have vacation plans .	I am going to Paris.
I have been downtown yet .	I'm planning to go once I've settled
I would like to get together to chat sometime .	Depends on how busy I am.
I have been to jazz shows .	I go to the club every Friday.
I have heard the new 21 Pilots song .	Is it any good?
I do I like the area .	I've never lived in such a beautiful place.
Reggae is my thing .	It's difficult for me to understand Patois.
I am a fan of mystery novels .	If they aren't too scary I will read them.
I will have time to relax this weekend .	I have a huge project I need to finish by Monday.
I am staying at a hotel .	My sister is putting me up.
My family is doing well .	My sister is getting divorced.
I like crime and mystery .	Only if the detective is a woman.
I am ready to have fun .	I'm a little tired.
I have a specific go-to genre of music .	Jazz is my favorite.
I am going to the club this weekend .	I'm not sure yet
I have heard new music .	Nothing that I can think of
I have been to music festivals .	Not since my college days.
I have ever been skating .	I've been roller skating a few times.
I mind seafood .	I'm worried about overfishing.
I attend concerts .	I am too broke.
I enjoy seafood .	I really like lobster and shrimp!
I am into watching Seahawks games .	I'm not into sports.
I have interest in going bowling this weekend .	Where?
I like suspenseful books .	Only when they're not too intense.
I enjoy sports .	I don't watch sports, but I like playing them.
I want to go for a drink .	I'll be free in an hour.
I do n't happen to still drink beer do I .	I've been off alcohol for 5 years.
I get a drink together .	Whats that bar like up there ?
I spend a lot of time filling in paper work .	More than you could imagine.
I like to go to the movies .	I prefer watching television from home.
I have been in town this whole time .	I'm just visiting from out of state.
I want to have a taste of leg of lamb .	I would prefer some steak.
I am in a support position .	I'll actually have support staff for me.
I am new to Austin .	This is my first time living here.
I have moved since we last met .	I'm in the same place.
I live in the same area .	We have a new house uptown.
I am looking forward to a fun weekend .	I definitely am
I want to rest before .	I'm ready for sightseeing.
I have been living here all this time .	I moved out of the state years ago.
This weekend this weekend .	I am not a big fan of high ropes to be honest.
I am familiar with this neighborhood .	I'd like to take a walk around to get better acquainted with it.
My kids will be going to the local school .	They're homeschooled.
New am going on .	My dad got a pet duck.
I want to be on a floor high up .	A great view is paramount.
It is close to the subway .	The entrance is next to my building.
I am planning to go out for dinner .	I have a chicken in the oven.
The flat is in Queens .	It's in Hells Kitchen.
I do I like to eat .	I'm vegetarian.
It is more in line with my skill set .	Better so than the job I have now.
I am a fan of mountain climbing .	I like hiking instead.
It is in a high crime area .	The crime is less than here.
I enjoy yardwork .	It's good for the muscles.
I did learn an instrument as a child .	My mom made me take piano lessons.
I like cats .	I'm more of a dog person.
I have taken a day off sick when I was not actually sick .	You know it.
I want to be outside .	It looks like it's going to be a beautiful weekend!
I am eating on a budget .	I should be.
Any fun got weekend plans .	I'm going to the amusement park on Sunday.
I prefer to read hardbacks .	I prefer audiobooks actually.
I want to go partying tonight .	I'm too tired tonight, maybe another time.
I am watching a movie this weekend .	I have too much extra work to do.
